ID,NK,NJ,MC,WIATNO,BMAF
A_1_3,-0.647128511,-0.346543924,-1.160118732,-1.271990633,-1.1288095449
A_2_2,0.08466924,0.820655857,-0.190958408,0.932374915,0.4554590423
A_2_3,1.025303082,0.538450606,-0.976992343,-0.093822842,0.0835799232
A_3_3,-1.637550363,-0.610686901,-1.479177521,-2.017209594,-1.8566663855
A_4_1,-0.782006871,-0.818388828,-0.298015158,0.559765434,-0.4454295592
